series,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Military expenditure (% of GDP),Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.659843811,3.268037217,2.597326679,2.413833389,2.168042357,2.105898228,2.334403164,2.203338735,2.21951125,2.086128048,1.951785579,1.860322034,1.89234285,1.895013554,1.860974776,1.757399802,1.784278882,1.705767524,1.666749307,1.534984226,1.5433209,1.481251847,1.415084803,1.398900138,1.373815077,1.406948993,1.533083773,1.505046128,..
Military expenditure (% of GDP),Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.728797304,4.357477453,3.662846142,4.570096857,2.945783515,5.253754476,3.935649234,1.975236352,..,1.877096744,2.678972413,1.877714736,1.385562309,1.544558526,1.075879454,0.922917332,1.36522796,1.541381137,1.532300729,1.725196702,1.496336428,1.144773061,0.834877634,3.004423666,4.504561526,5.906398955,7.98513575,5.778138694,5.015529644,..,5.609788197,2.818392656,2.02944821,2.786067068,..
Military expenditure (% of GDP),Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Chile,CHL,2.941827029,3.332873173,2.886923245,2.73456021,2.514644534,2.753421035,2.606649676,2.588956952,2.416440694,2.152880918,4.247178002,5.990833385,6.301118513,5.978217904,6.805745581,6.386090665,5.8016277,6.616555418,6.479123675,6.020775645,6.154896664,6.64246825,8.531488642,7.357314725,7.451771104,6.426269986,5.899057444,5.242615336,3.84005515,3.309106807,3.114964146,2.743579394,2.542940489,2.61886251,2.571617014,2.488882615,2.43990571,2.496254043,2.589397508,2.717865684,2.702046781,2.667081275,2.551802057,2.73384906,2.708704582,2.521367136,2.490734069,2.317015138,2.584010483,2.263607888,2.239468311,2.254395655,2.046290407,1.986419474,1.95515986,1.911977471,1.865722431,..
Military expenditure (% of GDP),China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.499179304,2.556000545,2.407889286,2.51862653,2.031470833,1.781001919,1.716336885,1.686050443,1.674801152,1.703300232,1.922053635,1.892937701,2.081183765,2.185412261,2.115685778,2.063711098,2.008734857,2.01072368,1.914649206,1.878155871,2.06742628,1.896713106,1.821927624,1.838563815,1.87233358,1.915341129,1.934922166,1.922962377,..
Military expenditure (% of GDP),Colombia,COL,1.879776997,2.137387898,3.09134083,3.513237653,3.170804849,3.190915431,3.165231897,3.11737582,2.385355164,2.054926009,2.259580622,3.374260678,1.967154324,1.690245106,1.575760584,1.740276667,1.493602871,1.438489223,1.550324524,1.673932994,1.830121649,1.755117706,1.713852332,2.219939708,2.325892552,2.054015368,1.944620737,1.983135866,2.199235757,2.188181204,2.209794859,2.210160779,2.497385801,3.006959334,2.508408425,2.831626279,4.445376084,2.801799373,3.440977855,3.762741934,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.352873388,3.276130639,3.266739663,3.709744276,3.863294541,3.631148564,3.072783411,3.166777069,3.288824583,3.132227748,3.130892568,3.386918596,..
Military expenditure (% of GDP),Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),"Congo, Dem. Rep.",COD,..,..,..,0.937004363,1.728870347,1.951310796,1.728866358,1.356587513,1.291096561,1.439762068,2.099258377,1.819492147,1.522778577,1.301043127,1.971682214,1.696267205,1.251947574,1.308048826,1.398280325,1.267183744,1.057203106,0.571641757,1.077981338,0.717015173,0.679629778,0.561097757,0.833024224,0.369337131,2.425602673,0.748125296,0.491283445,0.482968308,1.042223052,4.381616538,..,..,1.54674774,1.376250017,0.428432721,1.158153933,0.220260773,..,..,0.880641831,1.336616943,1.380795458,1.43463136,1.254075621,0.833062936,0.670095586,0.894993238,1.001246892,1.210687713,1.146177977,0.95024714,1.295639749,1.248318931,..
Military expenditure (% of GDP),"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,4.764473684,4.268318737,3.103381643,3.584437086,4.123491838,4.366180049,4.550748752,4.787234043,4.3197176,4.385098039,3.365982242,3.187096179,3.352112676,..,2.253103808,2.575195715,..,4.374427202,..,..,..,..,4.282586296,4.078410735,..,..,..,..,..,..,..,1.948493873,2.341203858,2.682498277,2.673874094,1.657893917,1.637114728,2.002214408,1.751614575,..,1.818729973,..,..,2.605858277,4.971939663,..,7.17024714,..
Military expenditure (% of GDP),Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
